tag,n,nnz,task,C_nnz_ours,C_nnz_cus,ms_ours,ms_cus,speedup,chk_match,status
SNAP__soc-sign-bitcoin-otc,5881,35592,AAt,1414978,1414978,10.2374,0.9036,0.09,1,ok
Rommes__bips07_1693,13275,49044,AA,124904,124904,0.2225,0.6378,2.87,1,ok
Rommes__bips07_1693,13275,49044,AAt,139889,139889,0.2601,0.5900,2.27,1,ok
DRIVCAV__cavity10,2597,76367,AA,333396,333396,0.5391,1.3770,2.55,1,ok
DRIVCAV__cavity10,2597,76367,AAt,356209,356209,0.6345,1.0886,1.72,1,ok
Shen__shermanACb,18510,145149,AA,400519,400519,64.9232,1.1326,0.02,1,ok
Shen__shermanACb,18510,145149,AAt,146608918,146608918,98.6027,28.0095,0.28,1,ok
VDOL__lowThrust_7,17378,211561,AA,46358098,46358098,112.3188,19.8890,0.18,1,ok
VDOL__lowThrust_7,17378,211561,AAt,46358098,46358098,51.7315,14.5826,0.28,1,ok
Mallya__lhr10,10672,232633,AA,1249871,1249871,0.9788,1.4647,1.50,1,ok
Mallya__lhr10,10672,232633,AAt,1058820,1058820,1.3888,1.7707,1.27,1,ok
ML_Graph__worms20_10NN,20055,240826,AA,755765,755765,0.4379,1.0055,2.30,1,ok
ML_Graph__worms20_10NN,20055,240826,AAt,755765,755765,3.4643,1.0099,0.29,1,ok
Cylshell__s1rmq4m1,5489,281111,AA,755453,755453,1.3793,20.1423,14.60,1,ok
Cylshell__s1rmq4m1,5489,281111,AAt,755453,755453,1.4653,20.3625,13.90,1,ok
Oberwolfach__inlet,11730,328323,AA,1347981,1347981,1.2142,2.3601,1.94,1,ok
Oberwolfach__inlet,11730,328323,AAt,1089250,1089250,1.2198,2.2663,1.86,1,ok
GHS_indef__ncvxbqp1,50000,349968,AA,1099432,1099432,0.6867,0.9647,1.40,1,ok
GHS_indef__ncvxbqp1,50000,349968,AAt,1099432,1099432,0.7250,0.9612,1.33,1,ok
SNAP__email-EuAll,265214,420045,AA,,,,,,,skip_oom
SNAP__email-EuAll,265214,420045,AAt,,,,,,,skip_oom
Rajat__rajat18,94294,485143,AA,,,,,,,skip_oom
Rajat__rajat18,94294,485143,AAt,,,,,,,skip_oom
Rajat__rajat25,87190,607235,AA,,,,,,,skip_oom
Rajat__rajat25,87190,607235,AAt,,,,,,,skip_oom
TSOPF__TSOPF_RS_b39_c19,38098,684206,AA,,,,,,,skip_oom
TSOPF__TSOPF_RS_b39_c19,38098,684206,AAt,,,,,,,skip_oom
QLi__crashbasis,160000,1750416,AA,8243392,8243392,7.1378,20.5835,2.88,1,ok
QLi__crashbasis,160000,1750416,AAt,8224288,8224288,2.5226,24.0205,9.52,1,ok
QLi__majorbasis,160000,1750416,AA,8243392,8243392,2.2992,3.4866,1.52,1,ok
QLi__majorbasis,160000,1750416,AAt,8224288,8224288,2.5224,5.1447,2.04,1,ok
VanVelzen__Zd_Jac3,22835,1916152,AA,,,,,,,skip_oom
VanVelzen__Zd_Jac3,22835,1916152,AAt,,,,,,,skip_oom
Rajat__rajat29,643994,4866270,AA,,,,,,,skip_oom
Rajat__rajat29,643994,4866270,AAt,,,,,,,skip_oom
Raju__laminar_duct3D,67173,3833077,AA,18934077,18934077,57.5662,19.2282,0.33,1,ok
Raju__laminar_duct3D,67173,3833077,AAt,17579159,17579159,123.3347,18.2200,0.15,1,ok
SNAP__web-Google,916428,5105039,AA,,,,,,,skip_oom
SNAP__web-Google,916428,5105039,AAt,,,,,,,skip_oom
LAW__amazon-2008,735323,5158388,AA,25366745,25366745,8.6570,31.3068,3.62,1,ok
LAW__amazon-2008,735323,5158388,AAt,48365714,48365714,14.4385,28.8891,2.00,1,ok
QLi__largebasis,440020,5560100,AA,17040280,17040280,6.2169,6.8325,1.10,1,ok
QLi__largebasis,440020,5560100,AAt,17040280,17040280,6.8614,6.8296,1.00,1,ok
Muite__Chebyshev4,68121,5377761,AA,,,,,,,skip_oom
Muite__Chebyshev4,68121,5377761,AAt,,,,,,,skip_oom
VLSI__radiation,223104,7637688,AA,,,,,,,skip_oom
VLSI__radiation,223104,7637688,AAt,,,,,,,skip_oom
Goodwin__Goodwin_127,178437,5778545,AA,26891956,26891956,26.2907,67.7576,2.58,1,ok
Goodwin__Goodwin_127,178437,5778545,AAt,26802959,26802959,27.0649,65.0816,2.40,1,ok
ATandT__pre2,659033,5959282,AA,,,,,,,skip_oom
ATandT__pre2,659033,5959282,AAt,,,,,,,skip_oom
PARSEC__Ga3As3H12,61349,5970947,AA,,,,,,,skip_oom
PARSEC__Ga3As3H12,61349,5970947,AAt,,,,,,,skip_oom
SNAP__com-Youtube,1134890,5975248,AA,,,,,,,skip_oom
SNAP__com-Youtube,1134890,5975248,AAt,,,,,,,skip_oom
