tag,n,nnz,task,C_nnz_ours,C_nnz_cus,ms_ours,ms_cus,speedup,chk_match,status
Gset__G57,5000,20000,AA,45000,45000,0.1555,0.3640,2.34,1,ok
Gset__G57,5000,20000,AAt,45000,45000,0.1839,0.5693,3.10,1,ok
HB__sherman3,5005,20033,AA,59909,59909,4.9747,0.4187,0.08,1,ok
HB__sherman3,5005,20033,AAt,59909,59909,7.3658,0.3601,0.05,1,ok
Shyy__shyy41,4720,20042,AA,47215,47215,0.1581,1.2397,7.84,1,ok
Shyy__shyy41,4720,20042,AAt,53376,53376,0.1834,0.3673,2.00,1,ok
Bai__rw5151,5151,20199,AA,50387,50387,0.1628,2.8233,17.34,1,ok
Bai__rw5151,5151,20199,AAt,64745,64745,7.3564,1.0408,0.14,1,ok
SNAP__CollegeMsg,1899,20296,AA,407071,407071,0.9649,19.7749,20.49,1,ok
SNAP__CollegeMsg,1899,20296,AAt,320778,320778,1.1161,19.5116,17.48,1,ok
Oberwolfach__t3dl_e,20360,20360,AA,20360,20360,0.1600,0.2147,1.34,1,ok
Oberwolfach__t3dl_e,20360,20360,AAt,20360,20360,0.1841,0.3609,1.96,1,ok
Schenk_IBMNA__c-20,2921,22685,AA,212913,212913,0.9596,0.8545,0.89,1,ok
Schenk_IBMNA__c-20,2921,22685,AAt,212913,212913,1.0574,0.6004,0.57,1,ok
SNAP__p2p-Gnutella08,6301,20777,AA,89625,89625,0.2454,0.3693,1.50,1,ok
SNAP__p2p-Gnutella08,6301,20777,AAt,219107,219107,7.6497,1.8289,0.24,1,ok
Wang__swang1,3169,20841,AA,55439,55439,0.1636,10.0443,61.40,1,ok
Wang__swang1,3169,20841,AAt,55439,55439,0.1927,0.3676,1.91,1,ok
Bomhof__circuit_2,4510,21199,AA,2160324,2160324,4.2143,1.9144,0.45,1,ok
Bomhof__circuit_2,4510,21199,AAt,3299058,3299058,5.5738,1.3632,0.24,1,ok
TOKAMAK__utm1700b,1700,21509,AA,74169,74169,0.2058,0.3792,1.84,1,ok
TOKAMAK__utm1700b,1700,21509,AAt,90936,90936,7.4655,0.3877,0.05,1,ok
Hamrle__Hamrle2,5952,22162,AA,64330,64330,0.1638,5.0450,30.80,1,ok
Hamrle__Hamrle2,5952,22162,AAt,60494,60494,0.1920,0.7349,3.83,1,ok
Rommes__bips98_606,7135,34738,AA,98760,98760,0.2078,0.7022,3.38,1,ok
Rommes__bips98_606,7135,34738,AAt,107949,107949,0.2452,0.5228,2.13,1,ok
SNAP__soc-sign-bitcoin-otc,5881,35592,AA,1677771,1677771,7.2512,0.9549,0.13,1,ok
